id,nome,media,estatuto,senha,uc1,ninscricao1,uc2,ninscricao2,uc3,ninscricao3,...
A001,Jony Miguel,18.0,Estatuto,joao,UC201,1,UC202,1,UC203,1
A002,Ana Matilde,10.7,Estatuto,senha456,UC201,1,UC202,1,UC203,1
A003,Carlos Ananás,15.4,Nenhum,pass123,UC201,1,UC202,1,UC203,1
A004,Joana Antunes,14.5,Nenhum,pass,UC201,1,UC202,1,UC203,1
A005,Luís Carvalho,17.6,Estatuto,carvalhol,UC201,1,UC202,1,UC203,1
A006,Mariana Sousa,13.2,Nenhum,msousa,UC201,1,UC202,1,UC203,1
A007,Pedro Dias,11.9,Estatuto,dias123,UC201,1,UC202,1,UC203,1
A008,Sofia Pinto,16.3,Nenhum,spinto,UC201,1,UC202,1,UC203,1
A009,Ricardo Alves,12.5,Estatuto,ralves,UC201,1,UC202,1,UC203,1
A010,Inês Costa,14.7,Nenhum,icosta,UC201,1,UC202,1,UC203,1
A011,Filipe Martins,15.9,Nenhum,fmartins,UC201,1,UC202,1,UC203,1
A012,Catarina Almeida,18.3,Estatuto,calmeida,UC201,1,UC202,1,UC203,1
A013,Tiago Moreira,14.0,Nenhum,tmoreira,UC201,1,UC202,1,UC203,1
A014,Beatriz Rocha,13.8,Estatuto,brocha,UC201,1,UC202,1,UC203,1,UC101,2
A015,Fernando Silva,11.5,Nenhum,fsilva,UC201,1,UC202,1,UC203,1,UC103,2
A016,Daniela Ferreira,15.1,Estatuto,dferreira,UC201,1,UC202,1,UC203,1,UC102,2
A017,Hugo Castro,17.2,Nenhum,hcastro,UC201,1,UC202,1,UC203,1,UC101,2
A018,Clara Monteiro,12.9,Nenhum,cmonteiro,UC201,1,UC202,1,UC203,1,UC103,2
A019,André Ramos,10.3,Estatuto,aramos,UC201,1,UC202,1,UC203,1,UC102,2
A020,Lara Nunes,16.7,Nenhum,lnunes,UC201,1,UC202,1,UC203,1,UC101,2
A021,Guilherme Mendes,12.8,Nenhum,gmendes,UC101,1,UC102,1,UC103,1
A022,Marta Ribeiro,14.3,Estatuto,mribeiro,UC101,1,UC102,1,UC103,1
A023,Fábio Gonçalves,15.5,Nenhum,fgoncalves,UC101,1,UC102,1,UC103,1
A024,Vanessa Marques,13.0,Nenhum,vmarques,UC101,1,UC102,1,UC103,1
A025,João Pereira,11.2,Estatuto,jpereira,UC101,1,UC102,1,UC103,1
A026,Patrícia Santos,17.8,Nenhum,psantos,UC101,1,UC102,1,UC103,1
A027,Nuno Figueiredo,14.6,Nenhum,nfigueiredo,UC101,1,UC102,1,UC103,1
A028,Rita Teixeira,15.7,Estatuto,rteixeira,UC101,1,UC102,1,UC103,1
A029,César Oliveira,10.4,Nenhum,coliveira,UC101,1,UC102,1,UC103,1
A030,Helena Machado,13.5,Nenhum,hmachado,UC101,1,UC102,1,UC103,1
A031,Vítor Fernandes,12.1,Estatuto,vfernandes,UC101,1,UC102,1,UC103,1
A032,Carla Lopes,16.2,Nenhum,clopes,UC101,1,UC102,1,UC103,1
A033,Leandro Costa,11.0,Nenhum,lcosta,UC101,1,UC102,1,UC103,1
A034,Matilde Faria,14.8,Estatuto,mfaria,UC101,1,UC102,1,UC103,1
A035,Diogo Antunes,16.5,Nenhum,dantunes,UC101,1,UC102,1,UC103,1
A036,Joana Almeida,12.7,Nenhum,jalmeida,UC101,1,UC102,1,UC103,1
A037,Miguel Vaz,14.4,Estatuto,mvaz,UC101,1,UC102,1,UC103,1
A038,Luísa Moura,13.3,Nenhum,lmoura,UC101,1,UC102,1,UC103,1
A039,Rafael Gomes,15.0,Nenhum,rgomes,UC101,1,UC102,1,UC103,1
A040,Teresa Matos,11.8,Estatuto,tmatos,UC101,1,UC102,1,UC103,1
